Links ID,Mean latency increase,isolated network,isolated routers
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592668', '6569f30442e7f25d7a592663']",120.0,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592665']",117.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592667']",117.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592665']",117.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665']",117.5,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592663', '6569f30442e7f25d7a592665']",117.5,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592663']",117.5,0,0
"['6569f30442e7f25d7a592664', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",117.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592664']",115.0,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592665', '6569f30442e7f25d7a592664']",115.0,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665']",114.16666666666669,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592666']",114.16666666666667,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592663', '6569f30442e7f25d7a592666']",114.16666666666667,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592663']",114.16666666666667,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592666', '6569f30442e7f25d7a592665']",113.33333333333334,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592665']",112.5,0,0
"['6569f30442e7f25d7a592666', '6569f30442e7f25d7a592667', '6569f30442e7f25d7a592665']",111.66666666666669,0,0
"['6569f30442e7f25d7a592665', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592666']",111.66666666666667,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592664', '6569f30442e7f25d7a592666']",109.16666666666667,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668']",108.33333333333334,0,0
"['6569f30442e7f25d7a592667', '6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668']",108.33333333333334,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592668']",107.5,0,0
"['6569f30442e7f25d7a592669', '6569f30442e7f25d7a592663', '6569f30442e7f25d7a592668']",107.5,0,0
